action, id, label
NEW ITERATION, 0,
insert, 0, 1
insert, 1, 1
insert, 2, 1
insert, 3, 1
insert, 4, 1
insert, 5, 1
insert, 6, 1
insert, 7, 1
insert, 8, 1
insert, 9, 1
insert, 10, 1
insert, 11, 1
insert, 12, 1
insert, 13, 0
insert, 14, 1
insert, 15, 1
insert, 16, 3
insert, 17, 1
insert, 18, 0
insert, 19, 1
insert, 20, 0
insert, 21, 1
insert, 22, 1
insert, 23, 0
insert, 24, 1
insert, 25, 4
insert, 26, 1
insert, 27, 0
insert, 28, 1
insert, 29, 1
insert, 30, 0
insert, 31, 1
insert, 32, 0
insert, 33, 1
insert, 34, 1
insert, 35, 1
insert, 36, 1
insert, 37, 0
insert, 38, 1
insert, 39, 1
insert, 40, 1
insert, 41, 1
insert, 43, 1
insert, 44, 1
insert, 45, 1
insert, 46, 1
insert, 47, 1
insert, 48, 19
insert, 49, 1
insert, 50, 1
insert, 51, 1
insert, 52, 1
insert, 53, 1
insert, 54, 21
insert, 55, 1
insert, 56, 1
insert, 57, 1
insert, 58, 1
insert, 59, 1
insert, 60, 23
insert, 61, 1
insert, 62, 1
insert, 63, 1
insert, 64, 1
insert, 65, 1
insert, 66, 25
insert, 67, 1
insert, 68, 1
insert, 69, 1
insert, 70, 1
insert, 71, 1
insert, 72, 27
insert, 73, 1
insert, 74, 1
insert, 75, 1
insert, 76, 1
insert, 77, 1
insert, 78, 29
insert, 79, 1
insert, 80, 1
insert, 81, 1
insert, 82, 1
insert, 83, 1
insert, 84, 31
insert, 85, 1
insert, 86, 1
insert, 87, 1
insert, 89, 1
insert, 90, 33
insert, 91, 1
NEW ITERATION, 1,
NEW ITERATION, 2,
remove, 39,
remove, 6,
remove, 0,
remove, 4,
remove, 1,
remove, 2,
insert, 92, 1
insert, 93, 1
insert, 94, 1
insert, 95, 1
NEW ITERATION, 3,
NEW ITERATION, 4,
NEW ITERATION, 5,
NEW ITERATION, 6,
remove, 3,
remove, 48,
remove, 5,
remove, 41,
remove, 93,
remove, 92,
insert, 96, 1
insert, 97, 19
insert, 98, 1
insert, 99, 1
NEW ITERATION, 7,
remove, 29,
remove, 40,
remove, 95,
remove, 43,
remove, 98,
remove, 99,
insert, 100, 1
insert, 101, 1
insert, 102, 1
insert, 103, 1
NEW ITERATION, 8,
NEW ITERATION, 9,
NEW ITERATION, 10,
remove, 44,
remove, 96,
remove, 103,
remove, 16,
remove, 97,
remove, 8,
insert, 104, 19
insert, 105, 1
insert, 106, 1
insert, 107, 1
insert, 108, 1
insert, 109, 3
insert, 110, 19
insert, 111, 1
NEW ITERATION, 11,
