action, id, label
NEW ITERATION, 0,
insert, 0, 1
insert, 1, 1
insert, 3, 1
insert, 5, 1
insert, 6, 1
insert, 7, 1
insert, 8, 1
insert, 9, 1
insert, 10, 1
insert, 11, 1
insert, 12, 1
insert, 13, 1
insert, 14, 1
insert, 15, 1
insert, 16, 4
insert, 17, 1
insert, 18, 1
insert, 19, 1
insert, 20, 1
insert, 21, 1
insert, 22, 6
insert, 23, 1
insert, 24, 1
insert, 25, 1
insert, 26, 1
insert, 27, 1
insert, 28, 1
insert, 29, 1
insert, 30, 1
insert, 31, 1
insert, 32, 10
insert, 33, 1
insert, 34, 1
insert, 35, 1
insert, 36, 1
insert, 37, 1
insert, 38, 12
insert, 39, 1
insert, 40, 1
insert, 41, 1
insert, 43, 1
insert, 44, 1
insert, 45, 1
insert, 46, 1
insert, 47, 1
insert, 48, 16
insert, 49, 1
insert, 50, 1
insert, 51, 1
insert, 53, 1
insert, 54, 18
insert, 55, 1
NEW ITERATION, 1,
NEW ITERATION, 2,
NEW ITERATION, 3,
remove, 1,
remove, 48,
remove, 10,
remove, 41,
remove, 26,
remove, 36,
insert, 56, 1
insert, 57, 16
insert, 58, 1
insert, 59, 1
NEW ITERATION, 4,
NEW ITERATION, 5,
NEW ITERATION, 6,
remove, 57,
remove, 54,
remove, 40,
remove, 47,
remove, 44,
remove, 45,
insert, 60, 16
insert, 61, 18
insert, 62, 1
insert, 63, 1
NEW ITERATION, 7,
NEW ITERATION, 8,
NEW ITERATION, 9,
remove, 61,
remove, 55,
remove, 46,
remove, 53,
remove, 50,
remove, 51,
insert, 64, 18
insert, 65, 1
insert, 66, 1
insert, 67, 1
NEW ITERATION, 10,
NEW ITERATION, 11,
NEW ITERATION, 12,
remove, 65,
remove, 63,
remove, 49,
remove, 67,
remove, 66,
insert, 68, 1
insert, 69, 1
insert, 70, 1
NEW ITERATION, 13,
NEW ITERATION, 14,
remove, 68,
remove, 59,
remove, 70,
remove, 43,
remove, 69,
remove, 62,
insert, 71, 1
insert, 72, 1
insert, 73, 1
insert, 74, 1
NEW ITERATION, 15,
NEW ITERATION, 16,
NEW ITERATION, 17,
remove, 72,
remove, 32,
remove, 6,
remove, 25,
remove, 58,
remove, 20,
insert, 75, 1
insert, 76, 10
insert, 77, 1
insert, 78, 1
NEW ITERATION, 18,
remove, 71,
remove, 76,
remove, 74,
remove, 28,
remove, 75,
remove, 27,
insert, 79, 1
insert, 80, 10
insert, 81, 1
insert, 82, 10
insert, 83, 1
insert, 84, 1
insert, 85, 1
insert, 86, 1
NEW ITERATION, 19,
NEW ITERATION, 20,
