action, id, source, target, label
NEW ITERATION, 0, , ,
insert, 0, 0, 1, 0
insert, 4, 1, 40, 1
insert, 5, 1, 3, 2
insert, 6, 2, 14, 0
insert, 7, 2, 3, 1
insert, 8, 2, 5, 2
insert, 11, 3, 5, 2
insert, 15, 5, 6, 0
insert, 18, 6, 7, 0
insert, 19, 6, 40, 1
insert, 21, 7, 8, 0
insert, 22, 7, 11, 1
insert, 25, 8, 9, 1
insert, 26, 8, 10, 2
insert, 34, 11, 20, 1
insert, 35, 11, 13, 2
insert, 36, 12, 16, 0
insert, 37, 12, 13, 1
insert, 38, 12, 15, 2
insert, 41, 13, 15, 2
insert, 42, 14, 18, 0
insert, 43, 14, 40, 1
insert, 45, 15, 20, 0
insert, 48, 16, 17, 0
insert, 49, 16, 20, 1
insert, 52, 17, 21, 1
insert, 53, 17, 19, 2
insert, 54, 18, 22, 0
insert, 55, 18, 25, 1
insert, 58, 19, 21, 1
insert, 59, 19, 21, 2
insert, 67, 22, 31, 1
insert, 68, 22, 24, 2
insert, 69, 23, 27, 0
insert, 70, 23, 24, 1
insert, 71, 23, 26, 2
insert, 74, 24, 26, 2
insert, 76, 25, 46, 1
insert, 77, 25, 39, 2
insert, 78, 26, 31, 0
insert, 81, 27, 28, 0
insert, 82, 27, 31, 1
insert, 85, 28, 37, 1
insert, 86, 28, 30, 2
insert, 87, 29, 33, 0
insert, 88, 29, 30, 1
insert, 89, 29, 32, 2
insert, 92, 30, 32, 2
insert, 96, 32, 37, 0
insert, 99, 33, 34, 0
insert, 100, 33, 37, 1
insert, 103, 34, 38, 1
insert, 104, 34, 36, 2
insert, 105, 35, 42, 0
insert, 106, 35, 39, 1
insert, 107, 35, 41, 2
insert, 109, 36, 38, 1
insert, 110, 36, 38, 2
insert, 119, 39, 41, 2
insert, 123, 41, 46, 0
insert, 126, 42, 43, 0
insert, 127, 42, 46, 1
insert, 130, 43, 47, 1
insert, 131, 43, 45, 2
insert, 136, 45, 47, 1
insert, 137, 45, 47, 2
NEW ITERATION, 1, , ,
NEW ITERATION, 2, , ,
NEW ITERATION, 3, , ,
NEW ITERATION, 4, , ,
NEW ITERATION, 5, , ,
remove, 75, , ,
remove, 76, , ,
remove, 77, , ,
remove, 93, , ,
remove, 94, , ,
remove, 95, , ,
remove, 42, , ,
remove, 43, , ,
remove, 44, , ,
remove, 72, , ,
remove, 73, , ,
remove, 74, , ,
remove, 54, , ,
remove, 55, , ,
remove, 56, , ,
remove, 66, , ,
remove, 67, , ,
remove, 68, , ,
insert, 144, 31, 48, 0
insert, 145, 46, 48, 1
insert, 146, 39, 48, 2
insert, 148, 27, 49, 1
insert, 149, 26, 49, 2
insert, 150, 24, 50, 0
insert, 151, 40, 50, 1
insert, 152, 2, 50, 2
insert, 154, 23, 51, 1
insert, 155, 26, 51, 2
NEW ITERATION, 6, , ,
remove, 120, , ,
remove, 121, , ,
remove, 122, , ,
remove, 69, , ,
remove, 70, , ,
remove, 71, , ,
remove, 6, , ,
remove, 7, , ,
remove, 8, , ,
remove, 78, , ,
remove, 79, , ,
remove, 80, , ,
remove, 150, , ,
remove, 151, , ,
remove, 152, , ,
remove, 153, , ,
remove, 154, , ,
remove, 155, , ,
insert, 156, 1, 52, 0
insert, 157, 23, 52, 1
insert, 158, 6, 52, 2
insert, 159, 27, 53, 0
insert, 161, 26, 53, 2
insert, 162, 26, 54, 0
insert, 163, 3, 54, 1
insert, 164, 5, 54, 2
insert, 165, 49, 55, 0
NEW ITERATION, 7, , ,
NEW ITERATION, 8, , ,
NEW ITERATION, 9, , ,
remove, 147, , ,
remove, 148, , ,
remove, 149, , ,
remove, 111, , ,
remove, 112, , ,
remove, 113, , ,
remove, 159, , ,
remove, 160, , ,
remove, 161, , ,
remove, 90, , ,
remove, 91, , ,
remove, 92, , ,
remove, 81, , ,
remove, 82, , ,
remove, 83, , ,
remove, 84, , ,
remove, 85, , ,
remove, 86, , ,
insert, 168, 48, 56, 0
insert, 169, 37, 56, 1
insert, 170, 55, 56, 2
insert, 172, 33, 57, 1
insert, 173, 32, 57, 2
insert, 174, 30, 58, 0
insert, 175, 52, 58, 1
insert, 176, 55, 58, 2
insert, 178, 29, 59, 1
insert, 179, 32, 59, 2
NEW ITERATION, 10, , ,
remove, 156, , ,
remove, 157, , ,
remove, 158, , ,
remove, 87, , ,
remove, 88, , ,
remove, 89, , ,
