action, id, label
NEW ITERATION, 0,
insert, 0, 1
insert, 1, 1
insert, 2, 1
insert, 3, 1
insert, 5, 1
insert, 6, 1
insert, 7, 1
insert, 8, 1
insert, 9, 0
insert, 10, 1
insert, 11, 1
insert, 12, 1
insert, 13, 1
insert, 14, 1
insert, 15, 1
insert, 16, 1
insert, 17, 1
insert, 18, 1
insert, 19, 1
insert, 20, 6
insert, 21, 1
insert, 22, 1
insert, 23, 1
insert, 24, 1
insert, 25, 1
insert, 26, 1
insert, 27, 1
insert, 28, 1
insert, 29, 1
insert, 30, 1
insert, 31, 10
insert, 32, 1
insert, 33, 1
insert, 34, 1
insert, 35, 1
insert, 36, 1
insert, 37, 12
insert, 38, 1
insert, 39, 1
insert, 40, 2
insert, 41, 1
insert, 42, 1
insert, 43, 1
insert, 45, 1
insert, 46, 16
insert, 47, 1
NEW ITERATION, 1,
NEW ITERATION, 2,
NEW ITERATION, 3,
NEW ITERATION, 4,
NEW ITERATION, 5,
remove, 25,
remove, 31,
remove, 14,
remove, 24,
remove, 18,
remove, 22,
insert, 48, 1
insert, 49, 10
insert, 50, 1
insert, 51, 1
NEW ITERATION, 6,
remove, 40,
remove, 23,
remove, 2,
remove, 26,
remove, 50,
remove, 51,
insert, 52, 2
insert, 53, 1
insert, 54, 1
insert, 55, 1
NEW ITERATION, 7,
NEW ITERATION, 8,
NEW ITERATION, 9,
remove, 49,
remove, 37,
remove, 53,
remove, 30,
remove, 27,
remove, 28,
insert, 56, 10
insert, 57, 12
insert, 58, 1
insert, 59, 1
NEW ITERATION, 10,
remove, 52,
remove, 29,
remove, 55,
remove, 32,
remove, 58,
remove, 59,
insert, 60, 2
insert, 61, 1
insert, 62, 1
insert, 63, 1
NEW ITERATION, 11,
NEW ITERATION, 12,
NEW ITERATION, 13,
remove, 57,
remove, 38,
remove, 61,
remove, 36,
remove, 33,
remove, 34,
insert, 64, 12
insert, 65, 1
insert, 66, 1
insert, 67, 1
NEW ITERATION, 14,
remove, 60,
remove, 65,
remove, 63,
remove, 66,
remove, 67,
insert, 68, 2
insert, 69, 1
insert, 70, 1
NEW ITERATION, 15,
NEW ITERATION, 16,
NEW ITERATION, 17,
NEW ITERATION, 18,
remove, 64,
remove, 48,
remove, 62,
remove, 46,
remove, 56,
remove, 39,
insert, 71, 10
insert, 72, 1
insert, 73, 12
insert, 74, 1
insert, 75, 1
insert, 76, 16
insert, 77, 10
insert, 78, 1
NEW ITERATION, 19,
remove, 69,
remove, 72,
remove, 70,
remove, 71,
remove, 73,
remove, 77,
insert, 79, 12
insert, 80, 1
insert, 81, 1
