action, id, label, source, target
NEW ITERATION, 0, , ,
remove, 150, , ,
remove, 151, , ,
remove, 152, , ,
remove, 12, , ,
remove, 13, , ,
remove, 14, , ,
insert, 0, 0, 0, 0
insert, 1, 1, 0, 4
insert, 2, 2, 0, 2
insert, 3, 0, 1, 1
insert, 4, 1, 1, 0
insert, 5, 2, 1, 40
insert, 6, 0, 2, 2
insert, 7, 1, 2, 26
insert, 8, 2, 2, 13
insert, 9, 0, 3, 3
insert, 10, 1, 3, 6
insert, 11, 2, 3, 9
insert, 12, 0, 4, 4
insert, 13, 1, 4, 13
insert, 14, 2, 4, 18
insert, 15, 0, 5, 5
insert, 16, 1, 5, 42
insert, 17, 2, 5, 10
insert, 18, 0, 6, 6
insert, 19, 1, 6, 28
insert, 20, 2, 6, 41
insert, 21, 0, 7, 7
insert, 22, 1, 7, 24
insert, 23, 2, 7, 64
insert, 24, 0, 8, 8
insert, 25, 1, 8, 50
insert, 26, 2, 8, 37
insert, 27, 0, 9, 9
insert, 28, 1, 9, 30
insert, 29, 2, 9, 33
insert, 30, 0, 10, 10
insert, 31, 1, 10, 5
insert, 32, 2, 10, 25
insert, 33, 0, 11, 11
insert, 34, 1, 11, 66
insert, 35, 2, 11, 34
insert, 36, 0, 12, 12
insert, 37, 1, 12, 52
insert, 38, 2, 12, 65
insert, 39, 0, 13, 13
insert, 40, 1, 13, 48
insert, 41, 2, 13, 88
insert, 42, 0, 14, 14
insert, 43, 1, 14, 74
insert, 44, 2, 14, 61
insert, 45, 0, 15, 15
insert, 46, 1, 15, 54
insert, 47, 2, 15, 57
insert, 48, 0, 16, 16
insert, 49, 1, 16, 29
insert, 50, 2, 16, 49
insert, 51, 0, 17, 17
insert, 52, 1, 17, 90
insert, 53, 2, 17, 58
insert, 54, 0, 18, 18
insert, 55, 1, 18, 76
insert, 56, 2, 18, 89
insert, 57, 0, 19, 19
insert, 58, 1, 19, 72
insert, 59, 2, 19, 112
insert, 60, 0, 20, 20
insert, 61, 1, 20, 98
insert, 62, 2, 20, 85
insert, 63, 0, 21, 21
insert, 64, 1, 21, 78
insert, 65, 2, 21, 81
insert, 66, 0, 22, 22
insert, 67, 1, 22, 53
insert, 68, 2, 22, 73
insert, 69, 0, 23, 23
insert, 70, 1, 23, 114
insert, 71, 2, 23, 82
insert, 72, 0, 24, 24
insert, 73, 1, 24, 100
insert, 74, 2, 24, 113
insert, 75, 0, 25, 25
insert, 76, 1, 25, 96
insert, 77, 2, 25, 136
insert, 78, 0, 26, 26
insert, 79, 1, 26, 122
insert, 80, 2, 26, 109
insert, 81, 0, 27, 27
insert, 82, 1, 27, 102
insert, 83, 2, 27, 105
insert, 84, 0, 28, 28
insert, 85, 1, 28, 77
insert, 86, 2, 28, 97
insert, 87, 0, 29, 29
insert, 88, 1, 29, 138
insert, 89, 2, 29, 106
insert, 90, 0, 30, 30
insert, 91, 1, 30, 124
insert, 92, 2, 30, 137
insert, 93, 0, 31, 31
insert, 94, 1, 31, 120
insert, 95, 2, 31, 160
insert, 96, 0, 32, 32
insert, 97, 1, 32, 146
insert, 98, 2, 32, 133
insert, 99, 0, 33, 33
insert, 100, 1, 33, 126
insert, 101, 2, 33, 129
insert, 102, 0, 34, 34
insert, 103, 1, 34, 101
insert, 104, 2, 34, 121
insert, 105, 0, 35, 35
insert, 106, 1, 35, 162
insert, 107, 2, 35, 130
insert, 108, 0, 36, 36
insert, 109, 1, 36, 148
insert, 110, 2, 36, 161
insert, 111, 0, 37, 37
insert, 112, 1, 37, 144
insert, 113, 2, 37, 184
insert, 114, 0, 38, 38
insert, 115, 1, 38, 170
insert, 116, 2, 38, 157
insert, 117, 0, 39, 39
insert, 118, 1, 39, 150
insert, 119, 2, 39, 153
insert, 120, 0, 40, 40
insert, 121, 1, 40, 125
insert, 122, 2, 40, 145
insert, 123, 0, 41, 41
insert, 124, 1, 41, 186
insert, 125, 2, 41, 154
insert, 126, 0, 42, 42
insert, 127, 1, 42, 172
insert, 128, 2, 42, 185
insert, 129, 0, 43, 43
insert, 130, 1, 43, 168
insert, 131, 2, 43, 208
insert, 132, 0, 44, 44
insert, 133, 1, 44, 194
insert, 134, 2, 44, 181
insert, 135, 0, 45, 45
insert, 136, 1, 45, 174
insert, 137, 2, 45, 177
insert, 138, 0, 46, 46
insert, 139, 1, 46, 149
insert, 140, 2, 46, 169
insert, 141, 0, 47, 47
insert, 142, 1, 47, 210
insert, 143, 2, 47, 178
insert, 144, 0, 48, 48
insert, 145, 1, 48, 196
insert, 146, 2, 48, 209
insert, 147, 0, 49, 49
insert, 148, 1, 49, 192
insert, 149, 2, 49, 212
insert, 150, 0, 50, 50
insert, 151, 1, 50, 197
insert, 152, 2, 50, 202
insert, 153, 0, 51, 51
insert, 154, 1, 51, 198
insert, 155, 2, 51, 213
insert, 156, 0, 52, 52
insert, 157, 1, 52, 173
insert, 158, 2, 52, 193
insert, 159, 0, 53, 53
insert, 160, 1, 53, 197
insert, 161, 2, 53, 205
NEW ITERATION, 1, , ,
NEW ITERATION, 2, , ,
NEW ITERATION, 3, , ,
NEW ITERATION, 4, , ,
remove, 30, , ,
remove, 31, , ,
remove, 32, , ,
remove, 48, , ,
remove, 49, , ,
remove, 50, , ,
remove, 6, , ,
remove, 7, , ,
remove, 8, , ,
remove, 27, , ,
remove, 28, , ,
remove, 29, , ,
remove, 18, , ,
remove, 19, , ,
remove, 20, , ,
remove, 21, , ,
remove, 22, , ,
remove, 23, , ,
insert, 162, 0, 54, 54
insert, 163, 1, 54, 5
insert, 164, 2, 54, 64
insert, 165, 0, 55, 55
insert, 166, 1, 55, 41
insert, 167, 2, 55, 49
insert, 168, 0, 56, 56
insert, 169, 1, 56, 36
insert, 170, 2, 56, 13
insert, 171, 0, 57, 57
insert, 172, 1, 57, 8
insert, 173, 2, 57, 33
NEW ITERATION, 5, , ,
NEW ITERATION, 6, , ,
NEW ITERATION, 7, , ,
remove, 165, , ,
remove, 166, , ,
remove, 167, , ,
remove, 66, , ,
remove, 67, , ,
remove, 68, , ,
remove, 24, , ,
remove, 25, , ,
remove, 26, , ,
remove, 45, , ,
remove, 46, , ,
remove, 47, , ,
remove, 36, , ,
remove, 37, , ,
remove, 38, , ,
remove, 39, , ,
remove, 40, , ,
remove, 41, , ,
insert, 174, 0, 58, 58
insert, 175, 1, 58, 41
insert, 176, 2, 58, 88
insert, 177, 0, 59, 59
insert, 178, 1, 59, 65
insert, 179, 2, 59, 73
insert, 180, 0, 60, 60
insert, 181, 1, 60, 60
insert, 182, 2, 60, 37
insert, 183, 0, 61, 61
insert, 184, 1, 61, 32
insert, 185, 2, 61, 57
NEW ITERATION, 8, , ,
NEW ITERATION, 9, , ,
NEW ITERATION, 10, , ,
remove, 177, , ,
remove, 178, , ,
remove, 179, , ,
remove, 84, , ,
remove, 85, , ,
remove, 86, , ,
remove, 42, , ,
remove, 43, , ,
remove, 44, , ,
remove, 63, , ,
remove, 64, , ,
remove, 65, , ,
remove, 54, , ,
remove, 55, , ,
remove, 56, , ,
remove, 57, , ,
remove, 58, , ,
remove, 59, , ,
insert, 186, 0, 62, 62
insert, 187, 1, 62, 65
insert, 188, 2, 62, 112
insert, 189, 0, 63, 63
insert, 190, 1, 63, 89
insert, 191, 2, 63, 97
insert, 192, 0, 64, 64
insert, 193, 1, 64, 84
insert, 194, 2, 64, 61
insert, 195, 0, 65, 65
insert, 196, 1, 65, 56
insert, 197, 2, 65, 81
NEW ITERATION, 11, , ,
NEW ITERATION, 12, , ,
NEW ITERATION, 13, , ,
remove, 189, , ,
remove, 190, , ,
remove, 191, , ,
remove, 102, , ,
remove, 103, , ,
remove, 104, , ,
remove, 60, , ,
remove, 61, , ,
remove, 62, , ,
remove, 81, , ,
remove, 82, , ,
remove, 83, , ,
remove, 72, , ,
remove, 73, , ,
remove, 74, , ,
remove, 75, , ,
remove, 76, , ,
remove, 77, , ,
insert, 198, 0, 66, 66
insert, 199, 1, 66, 89
insert, 200, 2, 66, 136
insert, 201, 0, 67, 67
insert, 202, 1, 67, 113
insert, 203, 2, 67, 121
insert, 204, 0, 68, 68
insert, 205, 1, 68, 108
insert, 206, 2, 68, 85
insert, 207, 0, 69, 69
insert, 208, 1, 69, 80
insert, 209, 2, 69, 105
NEW ITERATION, 14, , ,
NEW ITERATION, 15, , ,
NEW ITERATION, 16, , ,
remove, 201, , ,
remove, 202, , ,
remove, 203, , ,
remove, 120, , ,
remove, 121, , ,
remove, 122, , ,
remove, 78, , ,
remove, 79, , ,
remove, 80, , ,
remove, 99, , ,
remove, 100, , ,
remove, 101, , ,
remove, 90, , ,
remove, 91, , ,
remove, 92, , ,
remove, 93, , ,
remove, 94, , ,
remove, 95, , ,
insert, 210, 0, 70, 70
insert, 211, 1, 70, 113
insert, 212, 2, 70, 160
insert, 213, 0, 71, 71
insert, 214, 1, 71, 137
insert, 215, 2, 71, 145
insert, 216, 0, 72, 72
insert, 217, 1, 72, 132
insert, 218, 2, 72, 109
insert, 219, 0, 73, 73
insert, 220, 1, 73, 104
insert, 221, 2, 73, 129
NEW ITERATION, 17, , ,
NEW ITERATION, 18, , ,
NEW ITERATION, 19, , ,
remove, 213, , ,
remove, 214, , ,
remove, 215, , ,
remove, 138, , ,
remove, 139, , ,
remove, 140, , ,
remove, 96, , ,
remove, 97, , ,
remove, 98, , ,
remove, 117, , ,
remove, 118, , ,
remove, 119, , ,
remove, 108, , ,
remove, 109, , ,
remove, 110, , ,
remove, 111, , ,
remove, 112, , ,
remove, 113, , ,
insert, 222, 0, 74, 74
insert, 223, 1, 74, 137
insert, 224, 2, 74, 184
insert, 225, 0, 75, 75
insert, 226, 1, 75, 161
insert, 227, 2, 75, 169
insert, 228, 0, 76, 76
insert, 229, 1, 76, 156
insert, 230, 2, 76, 133
insert, 231, 0, 77, 77
