action, id, label
NEW ITERATION, 0,
remove, 50,
remove, 4,
insert, 0, 1
insert, 1, 1
insert, 2, 1
insert, 3, 1
insert, 4, 0
insert, 5, 1
insert, 6, 1
insert, 7, 1
insert, 8, 1
insert, 9, 1
insert, 10, 2
insert, 11, 1
insert, 12, 1
insert, 13, 1
insert, 14, 1
insert, 15, 1
insert, 16, 4
insert, 17, 1
insert, 18, 1
insert, 19, 1
insert, 20, 1
insert, 21, 1
insert, 22, 6
insert, 23, 1
insert, 24, 1
insert, 25, 1
insert, 26, 1
insert, 27, 1
insert, 28, 8
insert, 29, 1
insert, 30, 1
insert, 31, 1
insert, 32, 1
insert, 33, 1
insert, 34, 10
insert, 35, 1
insert, 36, 1
insert, 37, 1
insert, 38, 1
insert, 39, 1
insert, 40, 12
insert, 41, 1
insert, 42, 1
insert, 43, 1
insert, 44, 1
insert, 45, 1
insert, 46, 14
insert, 47, 1
insert, 48, 1
insert, 49, 1
insert, 50, 0
insert, 51, 1
insert, 52, 16
insert, 53, 1
NEW ITERATION, 1,
NEW ITERATION, 2,
NEW ITERATION, 3,
NEW ITERATION, 4,
remove, 10,
remove, 16,
remove, 2,
remove, 9,
remove, 6,
remove, 7,
insert, 54, 2
insert, 55, 4
insert, 56, 1
insert, 57, 1
NEW ITERATION, 5,
NEW ITERATION, 6,
NEW ITERATION, 7,
remove, 55,
remove, 22,
remove, 8,
remove, 15,
remove, 12,
remove, 13,
insert, 58, 4
insert, 59, 6
insert, 60, 1
insert, 61, 1
NEW ITERATION, 8,
NEW ITERATION, 9,
NEW ITERATION, 10,
remove, 59,
remove, 28,
remove, 14,
remove, 21,
remove, 18,
remove, 19,
insert, 62, 6
insert, 63, 8
insert, 64, 1
insert, 65, 1
NEW ITERATION, 11,
NEW ITERATION, 12,
NEW ITERATION, 13,
remove, 63,
remove, 34,
remove, 20,
remove, 27,
remove, 24,
remove, 25,
insert, 66, 8
insert, 67, 10
insert, 68, 1
insert, 69, 1
NEW ITERATION, 14,
NEW ITERATION, 15,
NEW ITERATION, 16,
remove, 67,
remove, 40,
remove, 26,
remove, 33,
remove, 30,
remove, 31,
insert, 70, 10
insert, 71, 12
insert, 72, 1
insert, 73, 1
NEW ITERATION, 17,
NEW ITERATION, 18,
NEW ITERATION, 19,
remove, 71,
remove, 46,
remove, 32,
remove, 39,
remove, 36,
remove, 37,
insert, 74, 12
insert, 75, 14
